------------------------------------------------------------------------------------------------------------
| Change # |     Database          | Action | Filename                                        | Date       |
------------------------------------------------------------------------------------------------------------
|    1     | venue_framework       | update | tbl_admin_users                                 | 10/30/2017 |
|    2     | venue_framework       | update | tbl_admin_users_application_access_map          | 10/30/2017 |
|    3     | venue_framework       | update | tbl_admin_users_venue_access_map                | 10/30/2017 |
|    4     | venue_framework       | update | tbl_applications_master                         | 10/30/2017 |
|    5     | venue_framework       | update | tbl_app_user_detail                             | 10/30/2017 |
|    6     | venue_framework       | update | tbl_app_user_detail_clone                       | 10/30/2017 |
|    7     | venue_framework       | update | tbl_audience_segments                           | 10/30/2017 |
|    8     | venue_framework       | update | tbl_audio_master                                | 10/30/2017 |
|    9     | venue_framework       | update | tbl_audio_master_bills                          | 10/30/2017 |
|    10    | venue_framework       | update | tbl_audio_media_content                         | 10/30/2017 |
|    11    | venue_framework       | update | tbl_audio_media_content_bills                   | 10/30/2017 |
|    12    | venue_framework       | update | tbl_audio_media_thumbnail                       | 10/30/2017 |
|    13    | venue_framework       | update | tbl_audio_media_thumbnail_bills                 | 10/30/2017 |
|    14    | venue_framework       | update | tbl_categories                                  | 10/30/2017 |
|    15    | venue_framework       | update | tbl_cheerleader_brightcove_videos               | 10/30/2017 |
|    16    | venue_framework       | update | tbl_cheerleader_ids                             | 10/30/2017 |
|    17    | venue_framework       | update | tbl_clubs                                       | 10/30/2017 |
|    18    | venue_framework       | update | tbl_cms_application_page_fields                 | 10/30/2017 |
|    19    | venue_framework       | update | tbl_cms_pages                                   | 10/30/2017 |
|    20    | venue_framework       | update | tbl_cms_user_modules_map                        | 10/30/2017 |
|    21    | venue_framework       | update | tbl_cms_user_page_map                           | 10/30/2017 |
|    22    | venue_framework       | update | tbl_current_season                              | 10/30/2017 |
|    23    | venue_framework       | update | tbl_current_sheduling_week                      | 10/30/2017 |
|    24    | venue_framework       | update | tbl_current_week                                | 10/30/2017 |
|    25    | venue_framework       | update | tbl_depthchart                                  | 10/30/2017 |
|    26    | venue_framework       | update | tbl_depthchart_visible                          | 10/30/2017 |
|    27    | venue_framework       | update | tbl_discount_card_type                          | 10/30/2017 |
|    28    | venue_framework       | update | tbl_dolphinscheerleaders_news_master            | 10/30/2017 |
|    29    | venue_framework       | update | tbl_dolphinscheerleaders_photos_master          | 10/30/2017 |
|    30    | venue_framework       | update | tbl_dolphinscheerleaders_photos_mediacontent    | 10/30/2017 |
|    31    | venue_framework       | update | tbl_dolphinscheerleaders_photos_thumbnail       | 10/30/2017 |
|    32    | venue_framework       | update | tbl_dolphins_flickr_photos                      | 10/30/2017 |
|    33    | venue_framework       | update | tbl_event2category                              | 10/30/2017 |
|    34    | venue_framework       | update | tbl_event2category_temp                         | 10/30/2017 |
|    35    | venue_framework       | update | tbl_event2tag                                   | 10/30/2017 |
|    36    | venue_framework       | update | tbl_events                                      | 10/30/2017 |
|    37    | venue_framework       | update | tbl_events_archive                              | 10/30/2017 |
|    38    | venue_framework       | update | tbl_events_occurrences                          | 10/30/2017 |
|    39    | venue_framework       | update | tbl_events_temp                                 | 10/30/2017 |
|    40    | venue_framework       | update | tbl_event_tickets_account_config                | 10/30/2017 |
|    41    | venue_framework       | update | tbl_event_ticket_master_config                  | 10/30/2017 |
|    42    | venue_framework       | update | tbl_event_transport_config                      | 10/30/2017 |
|    43    | venue_framework       | update | tbl_event_transport_services                    | 10/30/2017 |
|    44    | venue_framework       | update | tbl_event_wallet_config                         | 10/30/2017 |
|    45    | venue_framework       | update | tbl_existing_app_screens                        | 10/30/2017 |
|    46    | venue_framework       | update | tbl_feature_sheduling                           | 10/30/2017 |
|    47    | venue_framework       | update | tbl_game_weather_report                         | 10/30/2017 |
|    48    | venue_framework       | update | tbl_headline_master                             | 10/30/2017 |
